,cluster_ID,PS,Electrification
1049,1050,Alto Molocue HV,national grid extension
1050,1051,Gurue,national grid extension
1051,1052,Gurue,national grid extension
1052,1053,Gurue,national grid extension
1053,1054,Gurue,national grid extension
1054,1055,Gurue,national grid extension
1055,1056,Gurue,national grid extension
1056,1057,Gurue,national grid extension
1057,1058,Gurue,national grid extension
1058,1059,Gurue,national grid extension
1059,1060,Gurue,national grid extension
1060,1061,None(too far),off-grid system
1061,1062,Gurue,national grid extension
1062,1063,Alto Molocue HV,national grid extension
1063,1064,Gurue,national grid extension
1064,1065,Gurue,national grid extension
1065,1066,Gurue,national grid extension
1066,1067,Gurue,national grid extension
1067,1068,Alto Molocue HV,national grid extension
1068,1069,Gurue,national grid extension
1069,1070,Gurue,national grid extension
1070,1071,Gurue,national grid extension
1071,1072,Gurue,national grid extension
1072,1073,Gurue,national grid extension
1073,1074,Gurue,national grid extension
1074,1075,Gurue,national grid extension
1075,1076,Gurue,national grid extension
1076,1077,Gurue,national grid extension
1077,1078,Alto Molocue HV,national grid extension
1078,1079,Alto Molocue HV,national grid extension
1079,1080,Gurue,national grid extension
1080,1081,Gurue,national grid extension
1081,1082,Gurue,national grid extension
1082,1083,Gurue,national grid extension
1083,1084,Gurue,national grid extension
1084,1085,Gurue,national grid extension
1085,1086,Alto Molocue HV,national grid extension
1086,1087,Alto Molocue HV,national grid extension
1087,1088,Gurue,national grid extension
1088,1089,Gurue,national grid extension
1089,1090,Gurue,national grid extension
1090,1091,Alto Molocue HV,national grid extension
1091,1092,Alto Molocue HV,national grid extension
1092,1093,Gurue,national grid extension
1093,1094,Gurue,national grid extension
1094,1095,Alto Molocue HV,national grid extension
1095,1096,Gurue,national grid extension
1096,1097,Alto Molocue HV,national grid extension
1097,1098,Gurue,national grid extension
1098,1099,Alto Molocue HV,national grid extension
1099,1100,Gurue,national grid extension
