ID,X,Y,Voltage,Power,Cluster,Distance
27523.0,-143155.54011353472,3190936.0423199013,0.901,19.174,44.0,18.791
32167.0,-142802.60975982735,3191360.375495758,0.901,12.646,44.0,18.79
32209.0,-154106.01355096448,3198744.6106035295,0.944,31.517,45.0,32.481
32238.0,-153836.01355096448,3199314.6106035295,0.944,47.781,45.0,32.48
32250.0,-150977.77380659085,3198923.181014602,0.945,31.517,46.0,29.3
32274.0,-158753.76670965352,3202371.962356057,0.945,25.427,47.0,31.608
22061.0,-151769.9993962383,3204503.2050031377,0.949,0.0,48.0,21.678
27449.0,-151446.70954625926,3204487.3155915705,0.949,26.962,48.0,21.678
32292.0,-151823.95073172025,3204293.21524229,0.949,25.427,48.0,21.678
32310.0,-151973.95073172025,3204563.21524229,0.949,14.315,48.0,21.678
32322.0,-151763.95073172025,3204803.21524229,0.949,23.882,48.0,21.677
21824.0,-153074.3124943481,3204311.662690861,0.948,28.488,49.0,23.37
32351.0,-153370.49079917563,3204553.3881284767,0.948,34.519,49.0,23.369
20410.0,-132092.83548720513,3181890.7757741367,0.923,61.986,5.0,11.003
27391.0,-159061.9928427185,3201421.60366759,0.945,53.579,50.0,32.774
32405.0,-151042.89508892337,3202001.4770148345,0.947,20.757,51.0,25.25
32416.0,-150685.3312504835,3207138.150455049,0.956,26.962,52.0,17.322
22493.0,-142271.93174664595,3171257.104438113,0.936,34.86,53.0,13.31
32429.0,-142532.27397683793,3171027.4766602875,0.936,15.279,53.0,13.311
32466.0,-140062.14487672446,3171498.866314008,0.939,36.117,54.0,10.92
32486.0,-152233.87266097928,3212438.3301289473,0.968,12.646,55.0,11.468
32495.0,-152593.87266097928,3212708.3301289473,0.968,26.962,55.0,11.468
32516.0,-151118.77213951293,3212936.1543139983,0.968,40.457,56.0,10.458
32531.0,-151568.77213951293,3213086.1543139983,0.968,22.325,56.0,10.458
32543.0,-148625.20980646106,3213645.8978025094,0.974,34.519,57.0,8.93
32575.0,-149305.8177272623,3213769.5358985886,0.975,36.011,58.0,8.205
20130.0,-145964.40388221902,3172204.466444899,0.974,0.0,59.0,4.237
20132.0,-146012.8053739085,3172126.5988276973,0.974,0.0,59.0,4.237
20149.0,-146868.43108279287,3171999.306289632,0.974,0.0,59.0,4.238
20153.0,-147342.36575154707,3172133.7946608374,0.974,0.0,59.0,4.239
26925.0,-145803.34195786202,3172103.6045013918,0.974,33.599,59.0,4.237
32615.0,-146905.94374214136,3172197.4476884943,0.974,29.789,59.0,4.238
32620.0,-147415.94374214136,3172227.4476884943,0.974,4.814,59.0,4.239
32625.0,-145945.94374214136,3172227.4476884943,0.974,47.28,59.0,4.237
32663.0,-147295.94374214136,3172497.4476884943,0.974,22.012,59.0,4.239
32677.0,-147715.94374214136,3172617.4476884943,0.974,24.633,59.0,4.24
32682.0,-145795.94374214136,3172647.4476884943,0.974,9.569,59.0,4.237
32702.0,-146155.94374214136,3172827.4476884943,0.974,24.633,59.0,4.237
20188.0,-131115.56330959115,3184729.59550403,0.909,0.0,6.0,13.481
20275.0,-130296.80981477568,3184288.5022074683,0.909,0.0,6.0,13.48
20486.0,-131178.76907031063,3184718.4240623787,0.909,0.0,6.0,13.481
20490.0,-131067.05043375096,3184903.435902732,0.909,0.0,6.0,13.482
20492.0,-131029.80370040367,3185008.557549038,0.909,0.0,6.0,13.482
20515.0,-130696.87976038585,3186262.626973652,0.909,0.0,6.0,13.483
20646.0,-130884.83549968619,3184750.9085237104,0.909,0.0,6.0,13.481
25531.0,-130834.66609134394,3182874.9233878823,0.909,0.0,6.0,13.478
27700.0,-130589.48409940633,3184874.136667917,0.909,0.0,6.0,13.481
20181.0,-130961.4100793306,3184459.91326923,0.909,24.207,6.0,13.482
20283.0,-130498.23714639591,3183843.652410713,0.909,34.824,6.0,13.481
20295.0,-130845.88121952348,3183186.695414598,0.909,42.874,6.0,13.478
20427.0,-130476.56325836359,3187057.0560025116,0.909,20.566,6.0,13.485
20500.0,-130973.8296306549,3185566.443481578,0.909,59.762,6.0,13.482
20507.0,-130834.10486020756,3185900.285632476,0.909,23.001,6.0,13.483
20514.0,-130646.5834189503,3186231.3189615794,0.909,58.647,6.0,13.483
20627.0,-130291.48848136395,3184226.414981355,0.909,35.983,6.0,13.48
25032.0,-130868.55034373335,3186191.7778160125,0.909,19.336,6.0,13.484
25172.0,-130258.4215542157,3183973.732508164,0.909,45.151,6.0,13.48
25513.0,-130324.38115623387,3183651.7287092893,0.909,37.138,6.0,13.479
25528.0,-130744.84123388221,3182996.3278888664,0.909,66.42,6.0,13.479
26888.0,-131144.43888579786,3182903.499805856,0.909,19.336,6.0,13.479
27083.0,-131235.4478638349,3184691.0154395318,0.909,30.151,6.0,13.481
27695.0,-130375.58864778778,3184845.073171159,0.909,37.138,6.0,13.481
27728.0,-131172.37078399357,3184930.532628905,0.909,38.291,6.0,13.482
27951.0,-130120.199116062,3187115.8619628614,0.909,11.695,6.0,13.485
27980.0,-130683.02177661733,3186696.6662761187,0.909,35.983,6.0,13.484
29090.0,-131064.49334843893,3183479.10219475,0.909,14.304,6.0,13.479
29208.0,-131274.49334843893,3184349.10219475,0.909,32.495,6.0,13.482
29257.0,-130194.49334843893,3184589.10219475,0.909,18.096,6.0,13.481
29269.0,-130914.49334843893,3184649.10219475,0.909,31.325,6.0,13.481
29342.0,-130854.49334843893,3184949.10219475,0.909,27.789,6.0,13.482
23138.0,-149333.9512380426,3173295.2758378,0.974,27.224,60.0,4.763
32725.0,-148436.05829882054,3172762.1569908164,0.974,34.86,60.0,4.762
32733.0,-148016.05829882054,3172792.1569908164,0.974,37.37,60.0,4.761
