ID,cluster_ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,polygons,Existing_220.0:,Planned_220.0:,Existing_110.0:,Planned_400.0:,Planned_110.0:,type
1153,303,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,170,0.547027244,1.467892333,481.8192413,604.7322998,1105.488449,310.7706276,0.0,0,0,17.42759387,58.75988733,0,0,0,0.0,POINT (494117.3186081814 8119648.68411721),"0    POLYGON ((493513.644 8119655.941, 493513.616 8...
Name: geometry, dtype: geometry",,,,,,Rural
1158,304,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,243,0.492950552,1.188364718,393.6514615,608.242981,1233.882341,492.9500517,0.0,1,1,6.633661752,43.87601071,0,0,0,0.0,POINT (108844.2163147999 8120587.600321345),"0    POLYGON ((108513.168 8120681.107, 108512.398 8...
Name: geometry, dtype: geometry",,,,,,Rural
1159,305,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,503,0.836852374,1.501785233,1216.01999,1199.212158,1433.003234,601.0618071,0.0,1,0,15.45092796,56.2136164,0,0,0,0.0,POINT (496574.5318052152 8120591.856869878),"0    POLYGON ((496085.819 8120209.927, 496085.803 8...
Name: geometry, dtype: geometry",,,,,,Rural
1163,306,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,632,1.444076466,2.173620893,1556.02766,1289.143921,892.711675,437.6499547,0.0,0,0,4.652982909,90.31522651,0,0,0,0.0,POINT (457951.8464458195 8120615.236209462),"0    POLYGON ((457233.132 8120716.279, 457232.943 8...
Name: geometry, dtype: geometry",,,,,,Rural
1165,307,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,348,0.946084259,2.027346781,227.2496413,575.1859741,607.9648492,367.831931,0.0,1,0,0.128907661,33.10476839,0,0,0,0.0,POINT (200002.9642276756 8120723.891572066),"0    POLYGON ((199080.942 8120950.949, 199078.416 8...
Name: geometry, dtype: geometry",,,,,,Rural
1167,308,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,234,0.647450074,1.667201586,833.6237666,994.6674194,1536.284356,361.4178289,0.0,0,0,13.44675119,52.05354535,0,0,0,0.0,POINT (501302.4697844908 8121244.704920086),"0    POLYGON ((501164.446 8120990.275, 501164.446 8...
Name: geometry, dtype: geometry",,,,,,Rural
1168,309,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,212,0.587531653,1.315317937,521.0092873,532.7971191,906.8398557,360.8316233,0.0,0,0,6.488731314,44.47444415,0,0,0,0.0,POINT (108966.5383201673 8121629.213925553),"0    POLYGON ((108490.680 8121881.605, 108489.912 8...
Name: geometry, dtype: geometry",,,,,,Rural
1169,310,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,121,0.345766918,1.054054305,359.1200425,373.2798157,1079.570649,349.9467239,0.0,0,0,0.054210035,42.04606234,0,0,0,0.0,POINT (153369.249875003 8121210.340159715),"0    POLYGON ((153124.496 8121100.705, 153123.924 8...
Name: geometry, dtype: geometry",,,,,,Rural
1175,311,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,258,0.751781247,1.821658059,227.2496413,443.5288391,589.9706078,343.1849372,66.66666667,0,0,0.099831748,33.90942815,0,0,0,58.66802835,POINT (195848.6067229688 8120836.483306637),"0    POLYGON ((195144.702 8121295.215, 195144.316 8...
Name: geometry, dtype: geometry",,,,,,Rural
1181,312,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,162,0.49389941,1.246581339,179.2953683,366.9326477,742.9299174,328.0020117,0.0,0,0,6.112610447,70.22597678,0,0,0,0.0,POINT (478078.9608678166 8124666.650424112),"0    POLYGON ((477719.473 8124990.607, 477719.376 8...
Name: geometry, dtype: geometry",,,,,,Rural
