X,Y,geometry,ID,Elevation,Slope,Population,Land_cover,Protected_area,Road_dist,River_flow
-149771.20041559645,3179895.6725483807,POINT (-149771.2004155965 3179895.672548381),5810,2553.912109375,29.216136932373047,0.0,3,False,1358.0020893445617,
-149471.20041559645,3179895.6725483807,POINT (-149471.2004155965 3179895.672548381),5811,2538.59326171875,30.019968032836914,0.0,3,False,1343.6431165645527,
-149171.20041559645,3179895.6725483807,POINT (-149171.2004155965 3179895.672548381),5812,2603.94140625,31.030519485473633,0.0,3,False,1395.2003349764555,
-148871.20041559645,3179895.6725483807,POINT (-148871.2004155965 3179895.672548381),5813,2583.6064453125,31.553245544433594,0.0,3,False,1505.9186979201509,
-148571.20041559645,3179895.6725483807,POINT (-148571.2004155965 3179895.672548381),5814,2529.121826171875,35.16804122924805,0.0,3,False,1408.5030840934432,
-148271.20041559645,3179895.6725483807,POINT (-148271.2004155965 3179895.672548381),5815,2471.381103515625,27.878192901611328,0.0,2,False,1348.7009887512593,
-147971.20041559645,3179895.6725483807,POINT (-147971.2004155965 3179895.672548381),5816,2398.06103515625,22.340803146362305,0.0,3,False,1103.7035275387068,
-147671.20041559645,3179895.6725483807,POINT (-147671.2004155965 3179895.672548381),5817,2366.937255859375,22.252347946166992,0.0,3,False,892.9325821942803,
-147371.20041559645,3179895.6725483807,POINT (-147371.2004155965 3179895.672548381),5818,2380.35693359375,22.62830924987793,0.0,2,False,745.9864046930785,
-147071.20041559645,3179895.6725483807,POINT (-147071.2004155965 3179895.672548381),5819,2373.30126953125,29.563169479370117,0.0,3,False,704.033263155702,
-146771.20041559645,3179895.6725483807,POINT (-146771.2004155965 3179895.672548381),5820,2312.526123046875,33.49287414550781,0.0,3,False,621.0766009506265,
-146471.20041559645,3179895.6725483807,POINT (-146471.2004155965 3179895.672548381),5821,2162.023193359375,30.47633171081543,0.0,3,False,381.88203375862287,
-146171.20041559645,3179895.6725483807,POINT (-146171.2004155965 3179895.672548381),5822,2079.3876953125,20.87582015991211,0.0,1,False,200.41203132699897,
-145871.20041559645,3179895.6725483807,POINT (-145871.2004155965 3179895.672548381),5823,2045.6971435546875,18.016599655151367,0.0,1,False,27.126831384409975,
-145571.20041559645,3179895.6725483807,POINT (-145571.2004155965 3179895.672548381),5824,2048.24169921875,20.40130615234375,21.0,3,False,70.70882554475006,
-145271.20041559645,3179895.6725483807,POINT (-145271.2004155965 3179895.672548381),5825,2009.6251220703125,15.51951789855957,20.0,1,False,183.1591998626254,
-144971.20041559645,3179895.6725483807,POINT (-144971.2004155965 3179895.672548381),5826,1983.7166748046875,13.018802642822266,0.0,3,False,21.288787298268645,
-144671.20041559645,3179895.6725483807,POINT (-144671.2004155965 3179895.672548381),5827,1965.753173828125,13.286712646484375,0.0,3,False,14.815774614329232,
-144371.20041559645,3179895.6725483807,POINT (-144371.2004155965 3179895.672548381),5828,1947.7215576171875,13.688470840454102,0.0,3,False,94.03787663539912,
-144071.20041559645,3179895.6725483807,POINT (-144071.2004155965 3179895.672548381),5829,1882.6009521484375,18.793718338012695,0.0,3,False,371.31003542338425,
-143771.20041559645,3179895.6725483807,POINT (-143771.2004155965 3179895.672548381),5830,1836.0223388671875,17.593791961669922,0.0,3,False,261.0768175720947,
-143471.20041559645,3179895.6725483807,POINT (-143471.2004155965 3179895.672548381),5831,1904.3748779296875,18.74302864074707,0.0,2,False,111.0484726228149,
-143171.20041559645,3179895.6725483807,POINT (-143171.2004155965 3179895.672548381),5832,1900.70654296875,19.039485931396484,0.0,2,False,157.96709999101734,
-142871.20041559645,3179895.6725483807,POINT (-142871.2004155965 3179895.672548381),5833,1826.204345703125,18.240161895751953,0.0,2,False,47.331857221408434,
-142571.20041559645,3179895.6725483807,POINT (-142571.2004155965 3179895.672548381),5834,1797.2781982421875,21.24759864807129,0.0,3,False,34.70917034017193,
-142271.20041559645,3179895.6725483807,POINT (-142271.2004155965 3179895.672548381),5835,1805.1044921875,18.50844383239746,83.0,4,False,43.08291813481993,
-141971.20041559645,3179895.6725483807,POINT (-141971.2004155965 3179895.672548381),5836,1818.41064453125,10.818868637084961,41.0,4,False,102.07759332706328,
-141671.20041559645,3179895.6725483807,POINT (-141671.2004155965 3179895.672548381),5837,1807.80126953125,11.223149299621582,37.0,4,False,97.37883010474953,
-141371.20041559645,3179895.6725483807,POINT (-141371.2004155965 3179895.672548381),5838,1745.9788818359375,16.548770904541016,0.0,4,False,300.46758020087475,
-141071.20041559645,3179895.6725483807,POINT (-141071.2004155965 3179895.672548381),5839,1708.098876953125,13.453776359558105,0.0,3,False,127.34195230675273,
-140771.20041559645,3179895.6725483807,POINT (-140771.2004155965 3179895.672548381),5840,1719.8577880859375,15.61442756652832,0.0,3,False,288.8860590111101,
-140471.20041559645,3179895.6725483807,POINT (-140471.2004155965 3179895.672548381),5841,1717.9273681640625,15.614555358886719,0.0,3,False,305.23304394133487,
-140171.20041559645,3179895.6725483807,POINT (-140171.2004155965 3179895.672548381),5842,1711.8785400390625,14.076751708984375,0.0,3,False,98.52230612406868,
-139871.20041559645,3179895.6725483807,POINT (-139871.2004155965 3179895.672548381),5843,1684.8115234375,14.21236801147461,0.0,3,False,212.39349952299276,
-139571.20041559645,3179895.6725483807,POINT (-139571.2004155965 3179895.672548381),5844,1672.1553955078125,6.643772602081299,0.0,3,False,37.92781492106536,
-139271.20041559645,3179895.6725483807,POINT (-139271.2004155965 3179895.672548381),5845,1702.5458984375,18.549020767211914,0.0,3,False,185.543629194968,
-138971.20041559645,3179895.6725483807,POINT (-138971.2004155965 3179895.672548381),5846,1781.5753173828125,21.06340980529785,10.0,2,False,17.263922611711045,
-138671.20041559645,3179895.6725483807,POINT (-138671.2004155965 3179895.672548381),5847,1764.7779541015625,11.512798309326172,22.0,4,False,8.465527993715595,
-138371.20041559645,3179895.6725483807,POINT (-138371.2004155965 3179895.672548381),5848,1722.4622802734375,15.858908653259277,0.0,3,False,99.87312289194843,
-138071.20041559645,3179895.6725483807,POINT (-138071.2004155965 3179895.672548381),5849,1668.0228271484375,9.889976501464844,0.0,3,False,169.79464224041197,
-137771.20041559645,3179895.6725483807,POINT (-137771.2004155965 3179895.672548381),5850,1648.554443359375,2.209493637084961,0.0,3,False,273.5846689642866,
-137471.20041559645,3179895.6725483807,POINT (-137471.2004155965 3179895.672548381),5851,1646.6192626953125,2.7499685287475586,0.0,3,False,209.82861945920774,
-137171.20041559645,3179895.6725483807,POINT (-137171.2004155965 3179895.672548381),5852,1646.746337890625,3.315533399581909,0.0,4,False,210.29392568569347,
-136871.20041559645,3179895.6725483807,POINT (-136871.2004155965 3179895.672548381),5853,1643.4366455078125,2.2661967277526855,4.0,3,False,63.556117098626714,
-136571.20041559645,3179895.6725483807,POINT (-136571.2004155965 3179895.672548381),5854,1646.1802978515625,4.555202484130859,7.0,4,False,52.487539271479136,
-136271.20041559645,3179895.6725483807,POINT (-136271.2004155965 3179895.672548381),5855,1666.4002685546875,10.23615837097168,69.0,4,False,31.31425860423646,
-135971.20041559645,3179895.6725483807,POINT (-135971.2004155965 3179895.672548381),5856,1673.3795166015625,7.5577826499938965,64.0,4,False,6.174305796065826,
-135671.20041559645,3179895.6725483807,POINT (-135671.2004155965 3179895.672548381),5857,1700.5948486328125,10.349393844604492,84.0,4,False,14.33222311076742,
-135371.20041559645,3179895.6725483807,POINT (-135371.2004155965 3179895.672548381),5858,1690.21875,10.559941291809082,47.0,4,False,101.81773842504235,
-135071.20041559645,3179895.6725483807,POINT (-135071.2004155965 3179895.672548381),5859,1707.3984375,13.034138679504395,0.0,4,False,46.48255328896833,
-134771.20041559645,3179895.6725483807,POINT (-134771.2004155965 3179895.672548381),5860,1748.9915771484375,10.785652160644531,17.0,4,False,33.32543023117944,
-134471.20041559645,3179895.6725483807,POINT (-134471.2004155965 3179895.672548381),5861,1709.038818359375,14.225210189819336,0.0,4,False,6.5416818313781135,
-134171.20041559645,3179895.6725483807,POINT (-134171.2004155965 3179895.672548381),5862,1690.77490234375,9.679676055908203,27.0,4,False,77.4736658448255,
